,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
497,praia da vitoria,59.25,82,40,18.07,38.7333,-27.0667
498,razvilnoye,32.09,95,100,7.83,46.2387,41.2987
499,isangel,82.51,89,100,5.75,-19.55,169.2667
500,qasigiannguit,-0.44,93,100,12.95,68.8193,-51.1922
501,saint-francois,33.22,80,0,6.91,46.4154,3.9054
502,beberibe,82.44,77,28,12.17,-4.1797,-38.1306
503,bud,33.28,70,69,7.05,39.447,-86.1758
504,vostok,-3.24,94,99,3.71,46.4856,135.8833
505,uruacu,69.71,94,100,0.94,-14.5247,-49.1408
506,umzimvubu,,,,,,
507,kerrville,58.71,81,0,6.91,30.0474,-99.1403
508,north bend,46.17,90,40,4.61,43.4065,-124.2243
509,liverpool,46.6,89,75,8.99,53.4106,-2.9779
510,broome,15.75,71,11,1.01,42.2506,-75.833
511,kudahuvadhoo,81.91,77,22,11.5,2.6708,72.8944
512,tabas,50.2,24,98,2.15,33.5959,56.9244
513,lorengau,78.35,88,100,12.71,-2.0226,147.2712
514,acarau,79.3,78,14,13.58,-2.8856,-40.12
515,wanning,70.21,91,96,3.6,18.8003,110.3967
516,ust-maya,-15.74,98,100,1.1,60.4167,134.5333
517,lagoa,58.46,77,33,23.49,39.05,-27.9833
518,nara,36.59,65,4,4.34,34.6851,135.8049
519,lima,73.83,69,0,10.36,-12.0432,-77.0282
520,walvis bay,70.09,83,100,8.01,-22.9575,14.5053
521,kieta,81.64,79,100,5.23,-6.2167,155.6333
522,kota kinabalu,76.98,88,20,3.44,5.9749,116.0724
523,sao felix do xingu,71.64,97,98,1.1,-6.6447,-51.995
524,hauterive,37.26,95,68,3.56,46.0901,3.4459
525,palabuhanratu,,,,,,
526,kahului,77.59,68,40,16.11,20.8947,-156.47
527,kurumkan,-18.31,94,76,3.62,54.3,110.3
528,bathsheba,79.41,78,40,11.5,13.2167,-59.5167
529,changli,15.57,70,2,4.47,39.7042,119.1506
530,bandarbeyla,76.44,77,58,15.1,9.4942,50.8122
531,haibowan,,,,,,
532,bonfim,84.63,50,88,8.61,3.0833,-59.95
533,danielskuil,62.85,96,100,12.3,-28.1887,23.5395
534,cachoeirinha,79.11,70,0,4.61,-29.9511,-51.0939
535,nizwa,65.14,45,0,2.55,22.9333,57.5333
536,kamenskoye,,,,,,
537,saint-denis,35.17,74,0,3.44,48.9167,2.3333
538,bauchi,57.76,29,8,6.06,10.5,10
539,odweyne,62.92,54,23,5.12,9.4092,45.064
540,toliary,,,,,,
541,porto novo,80.42,79,60,4.41,6.4965,2.6036
542,witu,78.96,93,79,4.99,-2.3889,40.4382
543,pundaguitan,80.1,78,100,8.43,6.3711,126.1689
544,mahina,85.77,54,20,6.91,-17.5065,-149.489
545,maloshuyka,,,,,,
546,brigantine,28.65,70,0,8.05,39.4101,-74.3646
547,bajil,74.7,70,8,3.91,15.0584,43.2851
548,halalo,,,,,,
549,tabiauea,,,,,,
550,sleaford,42.08,93,100,12.66,52.9983,-0.4094
551,tabou,78.98,85,64,5.93,4.423,-7.3528
552,yarada,64.72,100,20,2.3,17.65,83.2667
553,bollnas,15.39,93,100,2.95,61.3482,16.3946
554,klaeng,79.27,100,27,4.56,12.7797,101.6483
555,wakkanai,22.98,58,75,18.41,45.4094,141.6739
556,umm durman,,,,,,
557,hornepayne,19.65,88,100,12.48,49.2138,-84.7705
558,laguna,61.56,53,0,3,38.421,-121.4238
559,yingcheng,39.25,64,97,6.8,30.95,113.55
560,cleveland,21.85,82,0,3.44,41.4995,-81.6954
561,korgen,15.8,81,100,7.63,66.0771,13.8153
562,ahipara,71.6,79,99,15.5,-35.1667,173.1667
563,isla mujeres,71.17,62,97,10.38,21.2311,-86.731
564,vestmannaeyjar,41.72,79,90,36.44,63.4427,-20.2734
565,port moresby,81.82,74,75,11.5,-9.4431,147.1797
566,kapuskasing,14,73,100,9.22,49.4169,-82.4331
567,olinda,78.53,89,75,5.75,-8.0089,-34.8553
568,san cristobal,75.38,81,66,2.42,7.7669,-72.225
569,olafsvik,25.84,80,87,23.2,64.8945,-23.7142
570,mutsu,23.02,100,75,3.44,41.2894,141.2169
571,skibbereen,48,86,87,19.42,51.55,-9.2667
572,zhigansk,-30.69,99,88,7.34,66.7697,123.3711
573,lamu,79.02,86,72,8.05,-2.2717,40.902
574,ucluelet,45.73,82,9,3,48.9329,-125.5528
575,rapar,65.21,86,0,7.87,23.5667,70.6333
576,dianopolis,,,,,,
577,pokhara,50.07,82,97,1.83,28.2333,83.9833
578,ambulu,78.55,84,100,2.95,-8.345,113.6058
579,butembo,61.66,57,100,3.02,0.15,29.2833
580,gaildorf,36.3,95,100,11.01,49.0003,9.7695
581,boditi,59.65,40,66,4.34,6.9667,37.8667
582,caravelas,78.71,87,3,8.97,-17.7125,-39.2481
583,rio grande,69.94,68,39,18.99,-32.035,-52.0986
584,shizunai,23.7,67,20,9.26,42.3339,142.3669
585,kirakira,84.63,73,87,3.53,-10.4544,161.9205
586,ahuimanu,78.42,65,40,5.01,21.4447,-157.8378
587,dali,38.73,85,42,3.91,25.7,100.1833
588,sechura,75.07,63,100,10.94,-5.5569,-80.8222
589,makakilo city,76.96,59,20,6.91,21.3469,-158.0858
590,hasaki,38.16,40,44,4.47,35.7333,140.8333
591,yumen,14.4,30,96,5.79,40.2833,97.2
592,leningradskiy,-17.01,94,67,9.53,69.3833,178.4167
593,manbij,41.77,80,70,6.2,36.5281,37.9549
594,yeppoon,87.58,60,27,5.44,-23.1333,150.7333
595,sladkovo,19.56,95,97,9.17,55.5284,70.3385
596,houma,60.69,63,48,5.99,29.5958,-90.7195
597,eyl,75.24,81,40,13.33,7.9803,49.8164
598,atagay,-13.07,99,30,3.06,55.1033,99.3875
599,shubarshi,18.39,92,100,8.34,48.5872,57.1869
600,talcahuano,67.68,52,0,14.97,-36.7167,-73.1167
601,micheweni,78.31,78,42,6.08,-4.9667,39.8333
602,hutchinson,60.93,29,0,3,38.0608,-97.9298
603,litoral del san juan,,,,,,
604,biltine,58.8,20,2,17.07,14.5333,20.9167
605,charlestown,84.27,69,7,1.99,-32.95,151.6667
606,mpongwe,60.49,98,53,3.83,-13.5091,28.155
607,athabasca,0.19,87,100,11.72,54.7169,-113.2854
608,bay city,23.45,77,0,0,43.5945,-83.8889
609,zawadzkie,32.2,93,98,3.8,50.605,18.4847
610,sabang,81.52,74,100,11.1,5.8933,95.3214
611,enniskerry,48.13,83,99,22.17,53.1925,-6.1692
612,warqla,,,,,,
613,tikrit,45.68,85,100,8.39,34.6071,43.6782
614,zykovo,-12.26,99,25,3.11,55.9519,93.1461
615,brae,40.91,97,100,24.32,60.3964,-1.353
616,khanpur,61.03,31,0,8.72,28.6453,70.6567
617,yuty,80.96,21,0,5.57,-26.6,-56.25
618,praia,70.34,88,0,13.8,14.9215,-23.5087
619,agadez,50.81,26,0,6.06,19.75,10.25
620,tawang,21.43,93,98,4.05,27.5833,91.8667
621,shahreza,33.51,95,100,0.27,32.0339,51.8794
622,elblag,28.04,69,94,11.1,54.1522,19.4088
623,vardo,22.51,80,56,8.79,70.3705,31.1107
624,kisangani,73.36,80,100,4.32,0.5167,25.2
625,quang ngai,68.68,94,100,4.72,15.1167,108.8
626,wufeng,28.83,98,100,3.44,27.45,104.8333
627,tucuman,77,61,75,6.91,-26.8241,-65.2226
628,verkh-usugli,-19.32,98,25,2.82,52.7,115.1667
629,troitsko-pechorsk,-10.26,100,88,2.01,62.7084,56.1964
630,toktogul,20.19,60,92,3.49,41.8708,72.9402
